Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Vernou-sur-Seine;87682468;77670;c;54937;54937;55764;55764;56020;56020.9577395;55589;55589
Verrey;87713081;21540;c;20264;20264;24614;24614;23721;23721.157512;25966;25966
Verzeille;87615138;11250;c;109;109;356;356;903;903.699996;517;517
Vesoul;87185009;70000;b;245423;306779;332084;415106;329654;412068.009215;362663;453328
Veuves - Monteaux;87574327;41150;c;4976;4976;7828;7828;8330;8330.876036;8345;8345
Vidauban;87755421;83550;c;6847;6847;6246;6246;7931;7931.23180472;9173;9173
Vieux-Thann;87182550;68800;b;157296;196620;169322;211653;169343;211678.994812;158063;197578
Vievola;87756890;6430;c;60;60;118;118;115;115.0;159;159
Vigeois;87594218;19410;c;7841;7841;8161;8161;9614;9614.29352;8686;8686
Villefort;87775197;48800;c;9878;9878;10287;10287;9444;9444.391704;9035;9035
Villefranche - Vernet-les-Bains;87784686;66820;b;133167;166458;149035;186293;147923;184903.75;149814;187267
Villefranche-du-Périgord;87595892;24550;c;2586;2586;3084;3084;3318;3318.099972;3683;3683
Villefranche-sur-Cher;87576884;41200;c;21068;21068;23003;23003;24318;24318.079934;25589;25589
Villefranque;87673616;64990;c;12;12;39;39;26;26.6;280;280
Villeneuve-le-Roi;87545277;94290;b;1609710;1609710;1635284;1635284;1668759;1668759.04438;1653657;1653657
Villennes-sur-Seine;87386649;78670;b;587413;587413;639361;639361;682829;682829.68;726991;726991
Villers-Saint-Sépulcre;87313593;60134;c;8746;8746;10206;10206;9072;9072.69575;9084;9084
Villiers-le-Bel - Gonesse - Arnouville;87276220;95400;b;13027794;13027794;12858012;12858012;12476723;12476723.1355;12047909;12047909
Villiers-sur-Marne - Le Plessis-Trévise;87113795;94350;b;8327133;8327133;8457955;8457955;8426955;8426955.4;8463495;8463495
Viviez - Decazeville;87613661;12110;c;14083;14083;18038;18038;16694;16694.244904;18483;18483
Voutré;87478560;53600;c;9010;9010;9061;9061;6888;6888.26719;6076;6076
Vrigne-Meuse;87172221;8350;c;4818;4818;5990;5990;7801;7801.762644;7036;7036
Weyersheim;87213678;67720;b;155497;194371;155940;194925;157555;196944.209175;160298;200372
Wilwisheim;87212175;67270;c;39001;39001;33171;33171;32877;32877.901932;34845;34845
Woelfling-lès-Sarreguemines;87193771;57200;;65;65;9;9;99;99.5;34;34
Yutz;87191304;57110;c;1484;1484;1300;1300;1930;1930.696334;1701;1701
